year rel_temperature rel_pptn
   366 -1.5602295 -0.1208803
   365 -1.5557940 -0.1205366
   364 -1.5513585 -0.1201930
   363 -1.5469230 -0.1198493
   362 -1.5424875 -0.1195057
   361 -1.5380520 -0.1191620
   360 -1.5336165 -0.1188184
   359 -1.5291810 -0.1184747
   358 -1.5247455 -0.1181311
   357 -1.5203101 -0.1177875
   356 -1.5158746 -0.1174438
   355 -1.5114391 -0.1171002
   354 -1.5070036 -0.1167565
   353 -1.5025681 -0.1164129
   352 -1.4981326 -0.1160692
   351 -1.4936971 -0.1157256
   350 -1.4892616 -0.1153819
   349 -1.4848261 -0.1150383
   348 -1.4803906 -0.1146947
   347 -1.4759551 -0.1143510
   346 -1.4715196 -0.1140074
   345 -1.4670841 -0.1136637
   344 -1.4626486 -0.1133201
   343 -1.4582131 -0.1129764
   342 -1.4537776 -0.1126328
   341 -1.4493421 -0.1122891
   340 -1.4449066 -0.1119455
   339 -1.4404711 -0.1116019
   338 -1.4360356 -0.1112582
   337 -1.4316001 -0.1109146
   336 -1.4271646 -0.1105709
   335 -1.4227291 -0.1102273
   334 -1.4182936 -0.1098836
   333 -1.4138581 -0.1095400
   332 -1.4094226 -0.1091964
   331 -1.4049871 -0.1088527
   330 -1.4005516 -0.1085091
   329 -1.3961161 -0.1081654
   328 -1.3916806 -0.1078218
   327 -1.3872452 -0.1074781
   326 -1.3828097 -0.1071345
   325 -1.3783742 -0.1067908
   324 -1.3739387 -0.1064472
   323 -1.3695032 -0.1061036
   322 -1.3650677 -0.1057599
   321 -1.3606322 -0.1054163
   320 -1.3561967 -0.1050726
   319 -1.3517612 -0.1047290
   318 -1.3473257 -0.1043853
   317 -1.3428902 -0.1040417
   316 -1.3384547 -0.1036980
   315 -1.3340192 -0.1033544
   314 -1.3295837 -0.1030108
   313 -1.3251482 -0.1026671
   312 -1.3207127 -0.1023235
   311 -1.3162772 -0.1019798
   310 -1.3118417 -0.1016362
   309 -1.3074062 -0.1012925
   308 -1.3029707 -0.1009489
   307 -1.2985352 -0.1006052
   306 -1.2940997 -0.1002616
   305 -1.2896642 -0.0999180
   304 -1.2852287 -0.0995743
   303 -1.2807932 -0.0992307
   302 -1.2763577 -0.0988870
   301 -1.2719222 -0.0985434
